Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Designing,1930.33,14,macOS,1.5,12,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Browsing,1746.96,17.3,Windows 11,1.2,8,2023,Black
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Office Work,1349.99,13.5,Windows 11,1.3,10,2023,Blue
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Video Editing,2499,16.2,macOS,1.6,18,2024,Space Gray
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Business,1899.5,14,Windows 11 Pro,1.4,15,2024,Black
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2,9,2023,Red/Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Gaming,1799.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.5,Windows 11,1.3,11,2023,Platinum
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming,2399.99,15.6,Windows 11,2,7,2024,Green/Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Everyday Use,999.99,15.6,Windows 11,1,14,2023,Mystic Silver
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Designing,1930.33,14,macOS,1.5,12,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Browsing,1746.96,17.3,Windows 11,1.2,8,2023,Black
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Office Work,1349.99,13.5,Windows 11,1.3,10,2023,Blue
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Video Editing,2499,16.2,macOS,1.6,18,2024,Space Gray
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Business,1899.5,14,Windows 11 Pro,1.4,15,2024,Black
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2,9,2023,Red/Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Gaming,1799.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.5,Windows 11,1.3,11,2023,Platinum
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming,2399.99,15.6,Windows 11,2,7,2024,Green/Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Everyday Use,999.99,15.6,Windows 11,1,14,2023,Mystic Silver
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,2.5,6,2024,Black
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Business,799.99,15.6,Windows 10,1.4,10,2023,Silver
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Professional,1799,17,Windows 11,1.35,19,2024,White
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Professional,1599,13.9,Windows 10,1.3,12,2023,Space Gray
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,7,2023,Black
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Designing,1930.33,14,macOS,1.5,12,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Browsing,1746.96,17.3,Windows 11,1.2,8,2023,Black
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Office Work,1349.99,13.5,Windows 11,1.3,10,2023,Blue
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Video Editing,2499,16.2,macOS,1.6,18,2024,Space Gray
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Business,1899.5,14,Windows 11 Pro,1.4,15,2024,Black
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2,9,2023,Red/Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Gaming,1799.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.5,Windows 11,1.3,11,2023,Platinum
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming,2399.99,15.6,Windows 11,2,7,2024,Green/Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Everyday Use,999.99,15.6,Windows 11,1,14,2023,Mystic Silver
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,2.5,6,2024,Black
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Business,799.99,15.6,Windows 10,1.4,10,2023,Silver
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Professional,1799,17,Windows 11,1.35,19,2024,White
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Professional,1599,13.9,Windows 10,1.3,12,2023,Space Gray
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,7,2023,Black
MSI,MSI GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,949.99,15.6,Windows 11,1.86,8,2023,Black
ASUS,ASUS ZenBook 14,Intel i7,16,512,Intel Iris Xe,Professional,1399,14,Windows 11,1.1,13,2023,Slate Gray
Alienware,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,17.3,Windows 11,2.5,6,2024,Lunar Light
Samsung,Samsung Notebook Odyssey,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1299.99,15.6,Windows 10,2.2,7,2023,Black
Gigabyte,Gigabyte Aero 15,Intel i7,16,512,NVIDIA RTX 2060,Professional,1799.99,15.6,Windows 10,2,8,2023,Silver
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Designing,1930.33,14,macOS,1.5,12,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Browsing,1746.96,17.3,Windows 11,1.2,8,2023,Black
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Office Work,1349.99,13.5,Windows 11,1.3,10,2023,Blue
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Video Editing,2499,16.2,macOS,1.6,18,2024,Space Gray
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Business,1899.5,14,Windows 11 Pro,1.4,15,2024,Black
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2,9,2023,Red/Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Gaming,1799.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.5,Windows 11,1.3,11,2023,Platinum
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming,2399.99,15.6,Windows 11,2,7,2024,Green/Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Everyday Use,999.99,15.6,Windows 11,1,14,2023,Mystic Silver
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,2.5,6,2024,Black
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Business,799.99,15.6,Windows 10,1.4,10,2023,Silver
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Professional,1799,17,Windows 11,1.35,19,2024,White
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Professional,1599,13.9,Windows 10,1.3,12,2023,Space Gray
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,7,2023,Black
MSI,MSI GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,949.99,15.6,Windows 11,1.86,8,2023,Black
ASUS,ASUS ZenBook 14,Intel i7,16,512,Intel Iris Xe,Professional,1399,14,Windows 11,1.1,13,2023,Slate Gray
Alienware,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,17.3,Windows 11,2.5,6,2024,Lunar Light
Samsung,Samsung Notebook Odyssey,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1299.99,15.6,Windows 10,2.2,7,2023,Black
Gigabyte,Gigabyte Aero 15,Intel i7,16,512,NVIDIA RTX 2060,Professional,1799.99,15.6,Windows 10,2,8,2023,Silver
Lenovo,Lenovo IdeaPad Flex 5,AMD Ryzen 5,16,512,Integrated Vega,Casual Use,799.99,14,Windows 11,1.5,10,2023,Platinum
HP,HP Envy x360,Intel i5,8,512,Intel Iris Xe,Office Work,849.99,13.3,Windows 11,1.3,11,2023,Nightfall Black
Dell,Dell Latitude 7420,Intel i7,16,512,Intel Iris Xe,Business,1399.99,14,Windows 10 Pro,1.3,14,2023,Silver
ASUS,ASUS TUF Dash F15,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,8,2023,Black
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Designing,1930.33,14,macOS,1.5,12,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Browsing,1746.96,17.3,Windows 11,1.2,8,2023,Black
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Office Work,1349.99,13.5,Windows 11,1.3,10,2023,Blue
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Video Editing,2499,16.2,macOS,1.6,18,2024,Space Gray
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Business,1899.5,14,Windows 11 Pro,1.4,15,2024,Black
